Date,Station,Category,Value
2003-01-01,Changi,Max humidity,100.00
2003-01-01,Changi,Max Temperature,32.00
2003-01-01,Changi,Min humidity,94.27
2003-01-02,Changi,Max humidity,100.00
2003-01-02,Changi,Max Temperature,32.00
2003-01-03,Changi,Max humidity,100.00
2003-01-03,Changi,Min Temperature,24.00
2003-01-04,Changi,Max humidity,100.00
2003-01-04,Changi,Min Temperature,24.00
2003-01-05,Changi,Max humidity,100.00
2003-01-06,Changi,Max humidity,100.00
2003-01-07,Changi,Max humidity,100.00
2003-01-07,Changi,Min humidity,94.27
2003-01-08,Changi,Max humidity,100.00
2003-01-08,Changi,Min Temperature,24.00
2003-01-11,Changi,Max humidity,100.00
2003-01-11,Changi,Min Temperature,24.00
2003-01-12,Changi,Min Temperature,24.00
2003-01-12,Changi,Max humidity,100.00
2003-01-15,Changi,Max Temperature,32.00
2003-01-16,Changi,Max humidity,100.00
2003-01-17,Changi,Min humidity,94.27
2003-01-18,Changi,Max humidity,100.00
2003-01-19,Changi,Max humidity,100.00
2003-01-19,Changi,Min Temperature,24.00
2003-01-20,Changi,Max humidity,100.00
2003-01-23,Changi,Max humidity,100.00
2003-01-23,Changi,Min humidity,94.27
2003-01-26,Changi,Max Temperature,32.00
2003-01-29,Changi,Min humidity,94.27
2003-01-30,Changi,Max humidity,100.00
2003-01-30,Changi,Min Temperature,24.00
2003-01-30,Changi,Min humidity,94.27
2003-01-31,Changi,Max humidity,100.00
2003-01-31,Changi,Min Temperature,24.00
2003-02-01,Changi,Max humidity,100.00
2003-02-01,Changi,Min Temperature,24.00
2003-02-02,Changi,Max humidity,100.00
2003-02-02,Changi,Min humidity,94.27
2003-02-03,Changi,Max humidity,100.00
2003-02-03,Changi,Min Temperature,24.00
2003-02-03,Changi,Min humidity,94.27
2003-02-05,Changi,Min Temperature,24.00
2003-02-05,Changi,Max humidity,100.00
2003-02-07,Changi,Max humidity,100.00
2003-02-07,Changi,Min Temperature,24.00
2003-02-08,Changi,Max humidity,100.00
2003-02-08,Changi,Min Temperature,24.00
2003-02-09,Changi,Max humidity,100.00
2003-02-09,Changi,Max Temperature,32.00
2003-02-10,Changi,Max humidity,100.00
2003-02-10,Changi,Min humidity,94.27
2003-02-11,Changi,Min humidity,94.27
2003-02-11,Changi,Max Temperature,32.00
2003-02-12,Changi,Min humidity,94.27
2003-02-16,Changi,Max humidity,100.00
2003-02-16,Changi,Min Temperature,24.00
2003-02-17,Changi,Max humidity,100.00
2003-02-17,Changi,Max Temperature,32.00
2003-02-17,Changi,Min Temperature,24.00
2003-02-19,Changi,Min Temperature,24.00
2003-02-22,Changi,Max Temperature,32.00
2003-02-23,Changi,Max Temperature,32.00
2003-02-24,Changi,Max Temperature,32.00
2003-02-25,Changi,Max Temperature,32.00
2003-02-26,Changi,Max Temperature,32.00
2003-02-28,Changi,Max Temperature,32.00
2003-03-02,Changi,Max Temperature,33.00
2003-03-03,Changi,Max humidity,100.00
2003-03-03,Changi,Min humidity,94.31
2003-03-04,Changi,Max humidity,100.00
2003-03-04,Changi,Max Temperature,33.00
2003-03-05,Changi,Max humidity,100.00
2003-03-05,Changi,Min humidity,94.31
2003-03-06,Changi,Max humidity,100.00
2003-03-07,Changi,Min humidity,94.31
2003-03-07,Changi,Max Temperature,33.00
2003-03-08,Changi,Max humidity,100.00
2003-03-08,Changi,Max Temperature,33.00
2003-03-08,Changi,Min humidity,94.31
2003-03-08,Changi,Min Temperature,23.00
2003-03-09,Changi,Max humidity,100.00
2003-03-13,Changi,Max humidity,100.00
2003-03-13,Changi,Min humidity,94.31
2003-03-14,Changi,Max humidity,100.00
2003-03-18,Changi,Max Temperature,33.00
2003-03-22,Changi,Max Temperature,33.00
2003-03-26,Changi,Max humidity,100.00
2003-03-27,Changi,Max humidity,100.00
2003-03-30,Changi,Max humidity,100.00
2003-03-31,Changi,Max humidity,100.00
2003-04-01,Changi,Max humidity,100.00
2003-04-02,Changi,Max humidity,100.00
2003-04-03,Changi,Max Temperature,33.00
2003-04-03,Changi,Max humidity,100.00
2003-04-04,Changi,Max humidity,100.00
2003-04-04,Changi,Max Temperature,33.00
2003-04-04,Changi,Min Temperature,24.00
2003-04-05,Changi,Max humidity,100.00
2003-04-05,Changi,Max Temperature,33.00
2003-04-06,Changi,Max humidity,100.00
2003-04-06,Changi,Min humidity,94.31
2003-04-07,Changi,Max Temperature,33.00
2003-04-08,Changi,Max humidity,100.00
2003-04-09,Changi,Max humidity,100.00
2003-04-09,Changi,Min humidity,94.31
2003-04-10,Changi,Max humidity,100.00
2003-04-11,Changi,Max humidity,100.00
2003-04-11,Changi,Min humidity,94.31
2003-04-13,Changi,Max humidity,100.00
2003-04-14,Changi,Max humidity,100.00
2003-04-15,Changi,Max humidity,100.00
2003-04-16,Changi,Max humidity,100.00
